,state,county,num_hosp,num_not_hosp,num_infected,percent_hosp
0,VA,BEDFORD,250,2856,3106,0.08048937540244688
1,VA,CHARLOTTESVILLE CITY,112,3185,3297,0.03397027600849257
2,NC,IREDELL,430,7195,7625,0.05639344262295082
3,PA,NORTHUMBERLAND,355,1863,2218,0.1600541027953111
4,OH,BUTLER,1761,21099,22860,0.07703412073490813
5,VA,NEWPORT NEWS CITY,528,6689,7217,0.0731605930442012
6,CT,NEW HAVEN,4700,8735,13435,0.34983252698176404
7,PA,MERCER,301,2644,2945,0.10220713073005093
8,TN,LAWRENCE,141,2054,2195,0.0642369020501139
9,TN,CLAIBORNE,65,809,874,0.07437070938215103
10,TN,COCKE,100,1420,1520,0.06578947368421052
11,GA,BRYAN,55,83,138,0.39855072463768115
12,ID,BANNOCK,411,7014,7425,0.055353535353535356
13,AZ,COCONINO,1439,8695,10134,0.14199723702388
14,OK,MCCURTAIN,303,2636,2939,0.10309629125552909
15,CA,RIVERSIDE,7744,88918,96662,0.08011421241025429
16,IL,WINNEBAGO,1130,9345,10475,0.10787589498806682
17,OH,GEAUGA,373,1224,1597,0.23356293049467752
18,NY,LIVINGSTON,12,192,204,0.058823529411764705
19,PA,WAYNE,90,911,1001,0.0899100899100899
20,GA,EMANUEL,16,26,42,0.38095238095238093
21,OR,DOUGLAS,360,3327,3687,0.09764035801464606
22,PA,MCKEAN,130,1243,1373,0.09468317552804079
23,OH,BROWN,54,360,414,0.13043478260869565
24,AL,NA,1479,13136,14615,0.10119739993157714
25,KS,SUMNER,127,1482,1609,0.07893101305158484
26,WI,MARATHON,767,12684,13451,0.05702178276708052
27,OK,OKMULGEE,321,2697,3018,0.10636182902584493
28,NC,ALAMANCE,1030,13364,14394,0.07155759344171182
29,IN,LAWRENCE,43,1067,1110,0.03873873873873874
30,MI,JACKSON,374,5984,6358,0.058823529411764705
31,OK,MUSKOGEE,758,4901,5659,0.13394592684219828
32,AL,BARBOUR,68,626,694,0.09798270893371758
33,IN,PUTNAM,21,152,173,0.12138728323699421
34,WY,NA,112,843,955,0.11727748691099477
35,WI,GREEN,166,2474,2640,0.06287878787878788
36,MI,MIDLAND,312,5378,5690,0.05483304042179262
37,IL,DUPAGE,6304,60004,66308,0.09507148458707848
38,OK,WOODWARD,136,1247,1383,0.09833694866232827
39,MI,DICKINSON,51,1534,1585,0.032176656151419555
40,SC,FLORENCE,1228,11410,12638,0.09716727330273778
41,KY,NA,3316,55133,58449,0.056733220414378345
42,NC,JOHNSTON,673,12990,13663,0.04925711776330235
43,TN,WILSON,325,6083,6408,0.05071785268414482
44,SC,BERKELEY,452,9982,10434,0.04331991566034119
45,TN,SUMNER,701,6111,6812,0.10290663534938344
46,FL,WAKULLA,106,1398,1504,0.07047872340425532
47,WI,DUNN,152,2215,2367,0.06421630756231517
48,SC,FAIRFIELD,145,1359,1504,0.09640957446808511
49,MA,NORFOLK,1928,11332,13260,0.14539969834087482
50,MN,WABASHA,76,101,177,0.4293785310734463
51,CO,MESA,809,9017,9826,0.08233258701404438
52,GA,EFFINGHAM,65,109,174,0.3735632183908046
53,OH,JACKSON,198,2545,2743,0.07218374043018592
54,AR,BOONE,138,2076,2214,0.06233062330623306
55,OK,GARVIN,237,2510,2747,0.08627593738623954
56,OH,FULTON,238,2596,2834,0.0839802399435427
57,ID,TWIN FALLS,772,6408,7180,0.1075208913649025
58,MN,DAKOTA,2564,1166,3730,0.6873994638069705
59,NY,CHEMUNG,15,76,91,0.16483516483516483
60,NJ,GLOUCESTER,3825,16928,20753,0.184310702067171
61,AR,POPE,423,4674,5097,0.08298999411418481
62,ID,BINGHAM,290,3768,4058,0.07146377525874816
63,IN,WARRICK,34,602,636,0.05345911949685535
64,GA,DEKALB,444,431,875,0.5074285714285715
65,GA,FULTON,290,424,714,0.4061624649859944
66,GA,JACKSON,95,407,502,0.1892430278884462
67,MI,LAPEER,422,4126,4548,0.09278803869832894
68,AZ,PINAL,5396,20195,25591,0.2108553788441249
69,CO,TELLER,134,1121,1255,0.10677290836653386
70,TN,DYER,108,2312,2420,0.04462809917355372
71,GA,BARROW,117,357,474,0.2468354430379747
72,GA,LOWNDES,120,409,529,0.22684310018903592
73,VA,HENRY,371,3120,3491,0.10627327413348611
74,NC,WILSON,870,7041,7911,0.10997345468335229
75,ID,CASSIA,106,1799,1905,0.05564304461942257
76,FL,SANTA ROSA,586,9543,10129,0.05785368743212558
77,PA,SNYDER,220,963,1183,0.18596787827557057
78,SC,CHESTERFIELD,307,3109,3416,0.0898711943793911
79,NC,ROWAN,624,7645,8269,0.07546257104849438
80,IN,KNOX,72,135,207,0.34782608695652173
81,VA,SPOTSYLVANIA,320,4197,4517,0.07084348018596413
82,WA,ISLAND,104,1737,1841,0.056491037479630635
83,AR,BAXTER,212,1499,1711,0.12390414962010521
84,SC,CHARLESTON,1053,22698,23751,0.04433497536945813
85,WA,KITSAP,384,8465,8849,0.0433947338682337
86,OH,COLUMBIANA,497,3348,3845,0.12925877763329
87,VA,FAIRFAX,4061,65381,69442,0.05848045851213963
88,OH,JEFFERSON,261,2938,3199,0.08158799624882776
89,FL,COLLIER,1116,16222,17338,0.06436728573076479
90,PA,CUMBERLAND,498,3635,4133,0.12049358819259617
91,IL,LIVINGSTON,80,537,617,0.12965964343598055
92,GA,CHATTOOGA,1,3,4,0.25
93,MA,BARNSTABLE,492,4046,4538,0.10841780520052886
94,AR,WHITE,234,3435,3669,0.06377759607522486
95,IA,STORY,61,3074,3135,0.01945773524720893
96,IN,FLOYD,166,791,957,0.17345872518286312
97,WA,BENTON,942,17125,18067,0.052139259423257873
98,MI,MENOMINEE,81,1165,1246,0.06500802568218299
99,FL,BRADFORD,120,2337,2457,0.04884004884004884
100,KS,MCPHERSON,183,2595,2778,0.06587473002159827
101,CA,FRESNO,4219,48358,52577,0.08024421324913936
102,KY,DAVIESS,237,6081,6318,0.03751187084520418
103,KY,OLDHAM,132,1822,1954,0.06755373592630501
104,PA,MONROE,368,3832,4200,0.08761904761904762
105,TN,MARSHALL,71,1501,1572,0.045165394402035625
106,IL,KANKAKEE,428,1959,2387,0.1793045664013406
107,IA,LEE,33,805,838,0.03937947494033413
108,ID,LATAH,36,2120,2156,0.016697588126159554
109,IN,KOSCIUSKO,30,151,181,0.16574585635359115
110,OH,GALLIA,139,2045,2184,0.06364468864468864
111,NC,DUPLIN,378,5437,5815,0.06500429922613929
112,FL,WALTON,225,2991,3216,0.06996268656716417
113,NV,CLARK,18255,152141,170396,0.10713279654451982
114,VA,DINWIDDIE,93,1015,1108,0.08393501805054152
115,PA,JEFFERSON,68,752,820,0.08292682926829269
116,MS,HINDS,428,2101,2529,0.16923685251087386
117,NC,DAVIDSON,557,5871,6428,0.08665214685749845
118,CO,LA PLATA,155,2884,3039,0.05100361961171438
119,NY,ALBANY,401,2093,2494,0.16078588612670408
120,IN,CLAY,40,29,69,0.5797101449275363
121,TN,HAMILTON,1000,19870,20870,0.04791566842357451
122,NC,WAKE,1220,33669,34889,0.034968041503052535
123,MD,CECIL,534,3607,4141,0.1289543588505192
124,NJ,MORRIS,5100,29087,34187,0.14917951268025859
125,CA,SACRAMENTO,5316,29097,34413,0.1544765059715805
126,MD,BALTIMORE CITY,343,1135,1478,0.23207036535859268
127,NY,ALLEGANY,1,4,5,0.2
128,IA,POLK,500,13650,14150,0.0353356890459364
129,WI,CHIPPEWA,244,3370,3614,0.06751521859435529
130,MI,INGHAM,904,8679,9583,0.09433371595533757
131,WI,ROCK,870,11293,12163,0.07152840582093234
132,PA,DELAWARE,2677,21317,23994,0.11156955905643078
133,MN,MILLE LACS,238,99,337,0.7062314540059347
134,CO,EL PASO,3486,14777,18263,0.19087773093139135
135,IA,MARION,62,956,1018,0.060903732809430254
136,AL,MONROE,36,419,455,0.07912087912087912
137,IA,WAPELLO,149,1506,1655,0.09003021148036254
138,VA,CAMPBELL,209,2182,2391,0.08741112505227938
139,VA,ROANOKE,190,3545,3735,0.050870147255689425
140,NC,HENDERSON,300,6137,6437,0.046605561597017245
141,IA,LINN,460,5307,5767,0.07976417548118606
142,SC,CHESTER,194,2202,2396,0.08096828046744574
143,NY,CHENANGO,23,102,125,0.184
144,IL,PERRY,120,1975,2095,0.057279236276849645
145,NE,ADAMS,0,1,1,0.0
146,OK,LINCOLN,231,1936,2167,0.1065989847715736
147,OR,LINCOLN,69,1193,1262,0.05467511885895404
148,OH,CARROLL,131,1389,1520,0.0861842105263158
149,OH,MUSKINGUM,638,7229,7867,0.0810982585483666
150,WA,MASON,126,2787,2913,0.04325437693099897
151,VA,ROCKBRIDGE,57,909,966,0.059006211180124224
152,OH,OTTAWA,247,1964,2211,0.1117141564902759
153,TN,BRADLEY,539,5071,5610,0.09607843137254903
154,MN,FILLMORE,62,72,134,0.4626865671641791
155,TN,GILES,93,1254,1347,0.06904231625835189
156,IL,KNOX,150,1378,1528,0.09816753926701571
157,FL,PALM BEACH,4972,67440,72412,0.06866265259901674
158,SC,PICKENS,547,9310,9857,0.0554935578776504
159,CA,STANISLAUS,2935,23410,26345,0.11140633896375024
160,IN,DAVIESS,59,74,133,0.44360902255639095
161,CA,HUMBOLDT,231,3776,4007,0.05764911405041178
162,IL,LASALLE,357,2555,2912,0.12259615384615384
163,PA,MIFFLIN,49,672,721,0.06796116504854369
164,NC,NEW HANOVER,405,10818,11223,0.03608660785886127
165,AR,POINSETT,288,1825,2113,0.1362991008045433
166,AL,DALE,84,1335,1419,0.05919661733615222
167,MN,BELTRAMI,234,50,284,0.823943661971831
168,MI,BERRIEN,775,6374,7149,0.10840677017764723
169,VA,SUFFOLK CITY,467,5317,5784,0.08073997233748272
170,CO,DENVER,4422,18018,22440,0.19705882352941176
171,UT,WASHINGTON,329,20052,20381,0.016142485648398017
172,CA,MADERA,529,8431,8960,0.05904017857142857
173,MD,ANNE ARUNDEL,263,1247,1510,0.1741721854304636
174,PA,SOMERSET,239,1299,1538,0.1553966189856957
175,VA,HALIFAX,76,854,930,0.08172043010752689
176,IN,POSEY,3,140,143,0.02097902097902098
177,RI,BRISTOL,7,22,29,0.2413793103448276
178,TN,SULLIVAN,725,6416,7141,0.10152639686318443
179,OH,ASHTABULA,409,566,975,0.4194871794871795
180,GA,GILMER,8,6,14,0.5714285714285714
181,PA,CENTRE,232,3997,4229,0.05485930480018917
182,NJ,BERGEN,11113,53594,64707,0.1717433971595036
183,IL,JACKSON,180,1823,2003,0.08986520219670495
184,NJ,CAMDEN,7091,31968,39059,0.18154586650963928
185,CO,BOULDER,863,9296,10159,0.08494930603405847
186,NM,CIBOLA,246,662,908,0.2709251101321586
187,AL,TALLADEGA,186,2253,2439,0.07626076260762607
188,NJ,OCEAN,8158,41034,49192,0.16583997397950886
189,CO,LARIMER,1188,1877,3065,0.38760195758564436
190,NY,DUTCHESS,334,769,1103,0.3028105167724388
191,IN,MONROE,31,299,330,0.09393939393939393
192,KS,LEAVENWORTH,352,4556,4908,0.07171964140179299
193,PA,WASHINGTON,500,4038,4538,0.11018069634200088
194,OK,OTTAWA,187,2750,2937,0.06367041198501873
195,NJ,HUDSON,9205,42495,51700,0.17804642166344295
196,NC,COLUMBUS,424,4340,4764,0.08900083963056256
197,IA,MUSCATINE,125,1289,1414,0.0884016973125884
198,GA,PUTNAM,39,145,184,0.21195652173913043
199,NM,SAN MIGUEL,120,92,212,0.5660377358490566
200,GA,HARRIS,20,18,38,0.5263157894736842
201,FL,BROWARD,7968,148354,156322,0.05097171223500211
202,KS,MIAMI,207,2066,2273,0.09106907171139464
203,ND,BURLEIGH,172,3613,3785,0.04544253632760898
204,KY,HARLAN,123,905,1028,0.11964980544747082
205,TN,CARROLL,74,1409,1483,0.049898853674983146
206,MO,BOONE,1,4,5,0.2
207,UT,IRON,44,5775,5819,0.007561436672967864
208,NC,BUNCOMBE,576,10727,11303,0.05095992214456339
209,OH,PICKAWAY,323,3512,3835,0.08422425032594524
210,SC,WILLIAMSBURG,293,2691,2984,0.09819034852546916
211,MD,DORCHESTER,101,2362,2463,0.04100690215184734
212,TN,SHELBY,3502,30498,34000,0.103
213,CA,MONTEREY,1449,17865,19314,0.0750232991612302
214,GA,CHEROKEE,224,149,373,0.6005361930294906
215,NC,SAMPSON,451,6503,6954,0.06485475985044578
216,SC,LAURENS,287,3205,3492,0.08218785796105384
217,AR,WASHINGTON,904,16764,17668,0.051165949739642294
218,VT,WASHINGTON,48,1621,1669,0.028759736369083282
219,FL,CHARLOTTE,550,6452,7002,0.07854898600399886
220,VA,SMYTH,200,1992,2192,0.09124087591240876
221,MN,WINONA,52,164,216,0.24074074074074073
222,OH,HURON,361,4414,4775,0.07560209424083769
223,NY,OSWEGO,14,84,98,0.14285714285714285
224,TN,HAWKINS,143,2075,2218,0.06447249774571687
225,IL,IROQUOIS,133,302,435,0.3057471264367816
226,MI,SHIAWASSEE,189,2903,3092,0.0611254851228978
227,IN,RANDOLPH,29,162,191,0.1518324607329843
228,VA,CAROLINE,69,947,1016,0.06791338582677166
229,NY,ORANGE,1989,23432,25421,0.0782423980173872
230,IA,CARROLL,56,1053,1109,0.05049594229035167
231,IN,MARION,1972,3339,5311,0.37130483901336847
232,NY,ESSEX,8,37,45,0.17777777777777778
233,UT,UINTAH,14,2808,2822,0.004961020552799433
234,IN,ELKHART,226,458,684,0.3304093567251462
235,TN,ROBERTSON,409,3439,3848,0.10628898128898129
236,PA,LEBANON,710,2915,3625,0.19586206896551725
237,OH,TRUMBULL,1216,9611,10827,0.11231181305994274
238,IN,JEFFERSON,4,53,57,0.07017543859649122
239,IA,JASPER,48,1046,1094,0.043875685557586835
240,IA,SIOUX,78,1967,2045,0.038141809290953545
241,WI,BROWN,1439,20985,22424,0.06417231537638245
242,VA,RUSSELL,131,1658,1789,0.07322526551145891
243,NV,ELKO,321,4222,4543,0.07065815540391812
244,TX,BEXAR,0,8,8,0.0
245,DE,NA,2,18,20,0.1
246,IL,MCLEAN,687,6229,6916,0.09933487565066512
247,OH,WOOD,656,7324,7980,0.08220551378446116
248,WI,WOOD,289,3411,3700,0.0781081081081081
249,KY,CALLOWAY,94,2833,2927,0.03211479330372395
250,AZ,NAVAJO,1875,5002,6877,0.27264795695797583
251,NJ,PASSAIC,8387,42123,50510,0.16604632745990894
252,NM,SANTA FE,629,1054,1683,0.37373737373737376
253,NY,ONEIDA,121,669,790,0.15316455696202533
254,RI,NEWPORT,7,52,59,0.11864406779661017
255,GA,BULLOCH,48,31,79,0.6075949367088608
256,CT,NA,133,697,830,0.1602409638554217
257,NJ,NA,322,2157,2479,0.12989108511496572
258,AR,MISSISSIPPI,444,3392,3836,0.11574556830031282
259,NY,ERIE,1124,2493,3617,0.3107547691457009
260,NH,STRAFFORD,94,5285,5379,0.0174753671686187
261,OH,FRANKLIN,3957,65068,69025,0.057327055414704814
262,WI,ONEIDA,184,1378,1562,0.117797695262484
263,ME,YORK,386,9835,10221,0.03776538499168379
264,MN,ST. LOUIS,1100,448,1548,0.710594315245478
265,NY,HERKIMER,19,94,113,0.168141592920354
266,GA,ROCKDALE,17,12,29,0.5862068965517241
267,WV,NA,33,72,105,0.3142857142857143
268,WI,DOUGLAS,167,3284,3451,0.04839177050130397
269,AL,MARION,82,867,949,0.08640674394099052
270,FL,SUWANNEE,234,3584,3818,0.061288632792037716
271,CA,GLENN,146,1518,1664,0.08774038461538461
272,WA,CLARK,1431,24650,26081,0.05486752808557954
273,KS,LYON,254,3568,3822,0.06645735217163788
274,CO,ROUTT,38,1651,1689,0.022498519834221433
275,VA,PORTSMOUTH CITY,684,4484,5168,0.1323529411764706
276,RI,WASHINGTON,13,67,80,0.1625
277,UT,CACHE,32,16590,16622,0.0019251594272650704
278,CO,MORGAN,263,847,1110,0.23693693693693693
279,IL,CHRISTIAN,89,340,429,0.20745920745920746
280,VA,ORANGE,77,1373,1450,0.05310344827586207
281,IL,MARION,137,354,491,0.2790224032586558
282,NY,FRANKLIN,1,14,15,0.06666666666666667
283,NY,QUEENS,35217,4863,40080,0.8786676646706587
284,ND,NA,451,6195,6646,0.0678603671381282
285,IL,FAYETTE,142,2621,2763,0.051393412956930874
286,MS,FORREST,122,754,876,0.13926940639269406
287,NC,MARTIN,222,1148,1370,0.16204379562043797
288,NC,ROCKINGHAM,468,5440,5908,0.07921462423832092
289,IL,COLES,304,839,1143,0.2659667541557305
290,WI,LA CROSSE,422,2829,3251,0.1298062134727776
291,OH,ASHLAND,297,3052,3349,0.08868318901164526
292,MN,SHERBURNE,504,387,891,0.5656565656565656
293,IN,NOBLE,13,97,110,0.11818181818181818
294,FL,DUVAL,1772,22739,24511,0.072294072049284
295,FL,HENDRY,266,2820,3086,0.08619572261827609
296,WI,VILAS,117,1403,1520,0.07697368421052632
297,WI,CLARK,242,2823,3065,0.07895595432300163
298,NC,BURKE,196,4238,4434,0.04420387911592242
299,OH,MEDINA,747,7113,7860,0.0950381679389313
300,WI,TREMPEALEAU,116,1362,1478,0.07848443843031123
301,VA,SALEM CITY,74,949,1023,0.07233626588465299
302,VA,RICHMOND CITY,827,8607,9434,0.0876616493534026
303,OR,COOS,154,1852,2006,0.07676969092721835
304,WI,WALWORTH,420,3773,4193,0.1001669449081803
305,AL,LAUDERDALE,151,2674,2825,0.05345132743362832
306,IN,RIPLEY,12,42,54,0.2222222222222222
307,RI,PROVIDENCE,93,494,587,0.15843270868824533
308,NY,NEW YORK,16669,3540,20209,0.8248305210549755
309,MA,MIDDLESEX,4904,38121,43025,0.11398024404416038
310,SD,MINNEHAHA,1,5,6,0.16666666666666666
311,WA,SKAGIT,352,5673,6025,0.058423236514522824
312,WA,OKANOGAN,184,2603,2787,0.06602081090778615
313,OK,SEQUOYAH,223,2467,2690,0.0828996282527881
314,ME,KENNEBEC,171,4610,4781,0.03576657603011922
315,TN,LINCOLN,62,1211,1273,0.04870384917517675
316,TN,FAYETTE,130,1961,2091,0.06217120994739359
317,FL,HIGHLANDS,455,4561,5016,0.0907097288676236
318,OH,WARREN,744,8322,9066,0.08206485771012574
319,NJ,MONMOUTH,8242,44487,52729,0.15630867264693052
320,AL,TUSCALOOSA,480,6358,6838,0.0701959637320854
321,OH,MERCER,398,3744,4142,0.09608884596813133
322,OH,DEFIANCE,290,3810,4100,0.07073170731707316
323,ND,CASS,139,4794,4933,0.028177579566186904
324,OH,HIGHLAND,195,835,1030,0.18932038834951456
325,GA,WALTON,50,50,100,0.5
326,TN,OBION,91,1875,1966,0.04628687690742624
327,AZ,NA,375,1471,1846,0.20314192849404117
328,GA,PEACH,21,34,55,0.38181818181818183
329,GA,TROUP,64,141,205,0.3121951219512195
330,IA,JOHNSON,145,4138,4283,0.033854774690637406
331,WA,PIERCE,3634,53508,57142,0.06359595393930909
332,TN,MADISON,316,3203,3519,0.08979823813583404
333,NM,MCKINLEY,1800,2968,4768,0.3775167785234899
334,NY,SCHENECTADY,183,635,818,0.2237163814180929
335,IL,CHAMPAIGN,174,2177,2351,0.07401105912377712
336,PA,BERKS,978,10297,11275,0.08674057649667406
337,NC,CABARRUS,731,10243,10974,0.06661199198104611
338,VA,WISE,170,2191,2361,0.07200338839474799
339,NC,EDGECOMBE,391,2982,3373,0.11592054550844945
340,AR,NA,3700,32320,36020,0.10272071071626875
341,NY,RENSSELAER,345,2840,3185,0.10832025117739404
342,VA,KING GEORGE,63,613,676,0.09319526627218935
343,GA,CLARKE,80,261,341,0.23460410557184752
344,MI,KENT,1664,33965,35629,0.046703528024923516
345,GA,DECATUR,19,73,92,0.20652173913043478
346,NE,MADISON,1,0,1,1.0
347,NC,TRANSYLVANIA,90,1599,1689,0.05328596802841918
348,SC,GREENVILLE,2234,33036,35270,0.06333994896512617
349,AZ,YUMA,2301,16796,19097,0.12049012933968686
350,TN,WARREN,77,2008,2085,0.036930455635491605
351,AL,LIMESTONE,172,2973,3145,0.05468998410174881
352,VI,NA,127,2302,2429,0.052284890901605596
353,IL,HENRY,110,897,1007,0.10923535253227408
354,ID,MADISON,95,5175,5270,0.018026565464895637
355,AL,RANDOLPH,54,531,585,0.09230769230769231
356,TN,HAMBLEN,218,2738,2956,0.07374830852503383
357,GA,CARROLL,18,22,40,0.45
358,MA,NA,72,657,729,0.09876543209876543
359,OK,STEPHENS,389,3566,3955,0.09835651074589127
360,VA,YORK,86,1763,1849,0.046511627906976744
361,WA,YAKIMA,1615,29177,30792,0.052448687970901534
362,OR,WASCO,58,1116,1174,0.049403747870528106
363,FL,LEON,482,12124,12606,0.038235760748849754
364,OK,LOGAN,220,2262,2482,0.088638195004029
365,VT,WINDHAM,42,1062,1104,0.03804347826086957
366,NY,SUFFOLK,1183,775,1958,0.6041879468845761
367,IL,WILLIAMSON,318,371,689,0.46153846153846156
368,NC,PITT,465,8106,8571,0.054252712635631785
369,WI,WAUKESHA,2184,19826,22010,0.09922762380736029
370,NC,PENDER,163,1700,1863,0.08749329039184112
371,CO,DOUGLAS,1160,8535,9695,0.11964930376482723
372,WI,TAYLOR,68,1073,1141,0.05959684487291849
373,ID,PAYETTE,126,1928,2054,0.06134371957156767
374,VA,NORFOLK CITY,1048,10048,11096,0.09444844989185291
375,OH,RICHLAND,646,5771,6417,0.10067009505999688
376,CA,CONTRA COSTA,6879,36441,43320,0.1587950138504155
377,IN,SCOTT,19,128,147,0.1292517006802721
378,MI,EMMET,74,1513,1587,0.04662885948330183
379,MA,HAMPDEN,1802,8166,9968,0.1807784911717496
380,IN,CARROLL,23,153,176,0.13068181818181818
381,MN,OLMSTED,624,748,1372,0.45481049562682213
382,AL,CULLMAN,136,2372,2508,0.05422647527910686
383,MN,BROWN,145,106,251,0.5776892430278885
384,WA,GRANT,466,9396,9862,0.04725207868586494
385,OH,MAHONING,1071,7571,8642,0.12392964591529738
386,NC,POLK,67,1065,1132,0.05918727915194346
387,NM,LUNA,177,262,439,0.4031890660592255
388,NY,STEUBEN,38,186,224,0.16964285714285715
